source,seed,epoch,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_epoch,best_val_loss,learning_rate,experiment
epoch,0,1,1,1.0,1.775394688505397,3.723090314865112,0.25510204081632654,0.6336734693877552,0,1,3.723090314865112,0.001,filtered_r1
epoch,0,2,2,2.0,1.0899676942197616,2.6210523663734904,0.6244897959183674,0.386734693877551,0,2,2.6210523663734904,0.001,filtered_r1
epoch,0,3,3,3.0,0.8671128237945515,1.2290323841328523,0.7275510204081632,0.9673469387755103,0,3,1.2290323841328523,0.001,filtered_r1
epoch,0,4,4,4.0,0.727345746671726,1.0277647923450082,0.8357142857142857,0.9510204081632653,0,4,1.0277647923450082,0.001,filtered_r1
epoch,0,5,5,5.0,0.6668428473996402,0.9197250784659873,0.8877551020408163,0.8969387755102041,0,5,0.9197250784659873,0.001,filtered_r1
epoch,0,6,6,6.0,0.5961760912653645,0.8751899227804067,0.8173469387755102,0.976530612244898,0,6,0.8751899227804067,0.001,filtered_r1
epoch,0,7,7,7.0,0.4938065758413799,0.9970600682861951,0.7408163265306122,0.9877551020408163,1,6,0.8751899227804067,0.001,filtered_r1
epoch,0,8,8,8.0,0.45017589199180447,2.837625370220262,0.48775510204081635,0.6663265306122449,2,6,0.8751899227804067,0.001,filtered_r1
epoch,0,9,9,9.0,0.3998827915190568,0.44208893897582074,0.9642857142857143,0.986734693877551,0,9,0.44208893897582074,0.001,filtered_r1
epoch,0,10,10,10.0,0.354166832205062,1.050132326690518,0.7795918367346939,0.986734693877551,1,9,0.44208893897582074,0.001,filtered_r1
epoch,0,11,11,11.0,0.30321043016853194,1.020250856633089,0.789795918367347,0.95,2,9,0.44208893897582074,0.001,filtered_r1
epoch,0,12,12,12.0,0.2559193723914951,1.6218126399176462,0.6275510204081632,0.8326530612244898,3,9,0.44208893897582074,0.001,filtered_r1
epoch,0,13,13,13.0,0.2120215750205966,1.3711192442446338,0.9214285714285714,0.6571428571428571,4,9,0.44208893897582074,0.001,filtered_r1
epoch,0,14,14,14.0,0.19366382324203166,0.8869147276391789,0.7724489795918368,0.9561224489795919,5,9,0.44208893897582074,0.001,filtered_r1
epoch,0,15,15,15.0,0.155030195544213,1.1326056665303756,0.6836734693877551,0.9693877551020408,6,9,0.44208893897582074,0.001,filtered_r1
epoch,0,16,16,16.0,0.1566149370539367,3.0181282598145156,0.4887755102040816,0.7091836734693877,7,9,0.44208893897582074,0.001,filtered_r1
epoch,0,17,17,17.0,0.13912708073164515,1.920199322213932,0.6459183673469387,0.8663265306122448,8,9,0.44208893897582074,0.001,filtered_r1
epoch,0,18,18,18.0,0.09771898062836296,1.3162615795524752,0.6234693877551021,0.9734693877551021,9,9,0.44208893897582074,0.001,filtered_r1
epoch,0,19,19,19.0,0.04393108335885469,0.5717843308740732,0.8724489795918368,0.9785714285714285,10,9,0.44208893897582074,0.001,filtered_r1
epoch,0,20,20,20.0,0.011164743657876187,0.27126619621199005,0.9377551020408164,0.9775510204081632,0,20,0.27126619621199005,0.001,filtered_r1
epoch,0,21,21,21.0,-0.01509672119246252,0.6671957772605274,0.9163265306122449,0.8989795918367347,1,20,0.27126619621199005,0.001,filtered_r1
epoch,0,22,22,22.0,-0.005416821470273607,1.3463818053809964,0.7040816326530612,0.9755102040816327,2,20,0.27126619621199005,0.001,filtered_r1
epoch,0,23,23,23.0,-0.002684779806782103,2.0099051319822974,0.6622448979591836,0.7438775510204082,3,20,0.27126619621199005,0.001,filtered_r1
epoch,0,24,24,24.0,-0.02666976932931693,1.0019911128647474,0.8163265306122449,0.9183673469387755,4,20,0.27126619621199005,0.001,filtered_r1
epoch,0,25,25,25.0,-0.053631059727341925,0.19289264922239344,0.9448979591836735,0.9877551020408163,0,25,0.19289264922239344,0.001,filtered_r1
epoch,0,26,26,26.0,-0.04512839865478883,2.041899065095551,0.8,0.6959183673469388,1,25,0.19289264922239344,0.001,filtered_r1
epoch,0,27,27,27.0,-0.09916635183004482,0.34001181612209397,0.9,0.9928571428571429,2,25,0.19289264922239344,0.001,filtered_r1
epoch,0,28,28,28.0,-0.10395461448040866,0.6765559534637295,0.8959183673469387,0.9551020408163265,3,25,0.19289264922239344,0.001,filtered_r1
epoch,0,29,29,29.0,-0.12951734906913906,0.5161194368284576,0.9153061224489796,0.9408163265306122,4,25,0.19289264922239344,0.001,filtered_r1
epoch,0,30,30,30.0,-0.1488919101192147,1.612279900726007,0.6979591836734694,0.9571428571428572,5,25,0.19289264922239344,0.001,filtered_r1
epoch,0,31,31,31.0,-0.16185290365396604,0.16243267521566274,0.9673469387755103,0.9540816326530612,0,31,0.16243267521566274,0.001,filtered_r1
epoch,0,32,32,32.0,-0.17125441186059023,0.09496055427862674,0.9653061224489796,0.9775510204081632,0,32,0.09496055427862674,0.001,filtered_r1
epoch,0,33,33,33.0,-0.12533883211345387,9.444105093819754,0.3336734693877551,0.5948979591836735,1,32,0.09496055427862674,0.001,filtered_r1
epoch,0,34,34,34.0,-0.05696567374903453,3.688295333239497,0.4061224489795918,0.9316326530612244,2,32,0.09496055427862674,0.001,filtered_r1
epoch,0,35,35,35.0,-0.09394039419960337,0.9221728779831712,0.8346938775510204,0.9795918367346939,3,32,0.09496055427862674,0.001,filtered_r1
epoch,0,36,36,36.0,-0.14829124072655406,1.531102153719688,0.6908163265306122,0.9744897959183674,4,32,0.09496055427862674,0.001,filtered_r1
epoch,0,37,37,37.0,-0.18756987715221998,0.14811815047750668,0.9551020408163265,0.9816326530612245,5,32,0.09496055427862674,0.001,filtered_r1
epoch,0,38,38,38.0,-0.20162424782001048,-0.0076988684887788735,0.9724489795918367,0.9948979591836735,0,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,39,39,39.0,-0.2110234944321489,0.33211957824473476,0.9826530612244898,0.8918367346938776,1,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,40,40,40.0,-0.2186718548475154,0.15686738296430938,0.9418367346938775,0.9918367346938776,2,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,41,41,41.0,-0.22274797589357906,0.020664700196713816,0.9775510204081632,0.9785714285714285,3,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,42,42,42.0,-0.21599345181781598,1.9405241455350604,0.686734693877551,0.9826530612244898,4,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,43,43,43.0,-0.07295758254518306,19.922703435469646,0.23469387755102042,0.6469387755102041,5,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,44,44,44.0,-0.01825445763262845,1.1689174296904583,0.813265306122449,0.9,6,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,45,45,45.0,-0.164949898469789,0.057831724322572046,0.9704081632653061,0.9846938775510204,7,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,46,46,46.0,-0.2147946210271166,0.059501104452172104,0.9653061224489796,0.9887755102040816,8,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,47,47,47.0,-0.2239819850047177,0.29697275696968545,0.9153061224489796,0.9918367346938776,9,38,-0.0076988684887788735,0.001,filtered_r1
epoch,0,48,48,48.0,-0.23105443771243692,-0.07361653726928089,0.9755102040816327,0.9918367346938776,0,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,49,49,49.0,-0.2287618908836687,-0.05272442126760678,0.9816326530612245,0.9928571428571429,1,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,50,50,50.0,-0.23317752017576587,-0.04756776897274718,0.9775510204081632,0.9897959183673469,2,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,51,51,51.0,-0.23822993429693048,-0.06864967394848259,0.9816326530612245,0.9928571428571429,3,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,52,52,52.0,-0.23858503910069892,-0.0639583631437652,0.9775510204081632,0.9918367346938776,4,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,53,53,53.0,-0.23733643404851976,-0.018907496880511847,0.9755102040816327,0.9877551020408163,5,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,54,54,54.0,-0.2336917841537292,0.13087040550854742,0.9377551020408164,0.9928571428571429,6,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,55,55,55.0,-0.19915837198292943,1.444272882597787,0.8142857142857143,0.8765306122448979,7,48,-0.07361653726928089,0.001,filtered_r1
epoch,0,56,56,56.0,-0.04925885635562988,1.7899491144686328,0.75,0.9571428571428572,8,48,-0.07361653726928089,0.001,filtered_r1
